,time,alpha,beta
0,0.0,0.106,0.1590223446718496
1,2.26766953206483e-05,0.106,0.15900360483540044
2,4.53533906412966e-05,0.106,0.15898491630375594
3,6.80300859619449e-05,0.106,0.15896627902588356
4,9.07067812825932e-05,0.106,0.1589476929507836
5,0.00011338347660324149,0.106,0.15892915802748903
6,0.0001360601719238898,0.106,0.15891067420506483
7,0.0001587368672445381,0.106,0.15889224143260922
8,0.0001814135625651864,0.106,0.15887385965925244
9,0.00020409025788583468,0.106,0.1588555288341572
10,0.00022676695320648297,0.106,0.15883724890651824
11,0.00024944364852713127,0.106,0.15881901982556368
12,0.0002721203438477796,0.106,0.15880084154055357
13,0.0002947970391684279,0.106,0.15878271400077987
14,0.0003174737344890762,0.106,0.15876463715556788
15,0.0003401504298097245,0.106,0.15874661095427445
16,0.0003628271251303728,0.106,0.15872863534628923
17,0.00038550382045102107,0.106,0.158710710281034
18,0.00040818051577166936,0.106,0.1586928357079631
19,0.00043085721109231766,0.106,0.15867501157656305
20,0.00045353390641296595,0.106,0.15865723783635266
21,0.0004762106017336143,0.106,0.15863951443688323
22,0.0004988872970542625,0.106,0.1586218413277375
23,0.0005215639923749108,0.106,0.1586042184585319
24,0.0005442406876955592,0.106,0.1585866457789139
25,0.0005669173830162075,0.106,0.15856912323856387
26,0.0005895940783368558,0.106,0.15855165078719385
27,0.0006122707736575041,0.106,0.15853422837454867
28,0.0006349474689781524,0.106,0.15851685595040488
29,0.0006576241642988007,0.106,0.1584995334645714
30,0.000680300859619449,0.106,0.15848226086688932
31,0.0007029775549400973,0.106,0.15846503810723217
32,0.0007256542502607456,0.106,0.15844786513550474
33,0.0007483309455813939,0.106,0.15843074190164474
34,0.0007710076409020421,0.106,0.15841366835562176
35,0.0007936843362226904,0.106,0.15839664444743762
36,0.0008163610315433387,0.106,0.15837967012712606
37,0.000839037726863987,0.106,0.15836274534475248
38,0.0008617144221846353,0.106,0.158345870050415
39,0.0008843911175052836,0.106,0.15832904419424354
