ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Altitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
165970,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Matthew Sarver,12/22/2009,2009,12,22,623,Colombia,CO-ANT,Antioquia,,Reserva Natural de las Aves Arrierito Antioqueño; lodge garden,6.984826,-75.111724,1648,,Song,Not Used,,,,,MARANTZ PMD 660,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,4,4,,,
472617231,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Mauricio  Alvarez,8/1/2022,2022,8,1,651,Colombia,CO-CUN,Cundinamarca,,"Cundinamarca, municipio de Chocontá, Vereda Arizona Km 5.",5.067167,-73.7086166,2688,,Song,Not Used,,,,,Sound Devices 702 ,Sennheiser MKH 20 P48 ,Tellinga parabola,,S116147704,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,5,1,,,
472617221,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Mauricio  Alvarez,8/1/2022,2022,8,1,651,Colombia,CO-CUN,Cundinamarca,,"Cundinamarca, municipio de Chocontá, Vereda Arizona Km 5.",5.067167,-73.7086166,2683,,Song,Not Used,,,,,Sound Devices 702 ,Sennheiser MKH 20 P48 ,Tellinga parabola,,S116147704,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,4,1,,,
167949711,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Juan Gutierrez,4/12/2019,2019,4,12,1626,Colombia,CO-DC,Distrito Capital de Bogotá,,Centro Deportivo La Gata Golosa,4.600167,-74.063207,2692,Adult Male,Song,Not Used,,,,,Sony IC recorder ICD PX470,,,,S54876085,,,,"Copetón, en un poste de 4 metros de altura vocalizando",,Zonotrichia capensis,rucspa1,Species,32629,,5,2,,,
187313411,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Diego Cueva,11/10/2019,2019,11,10,1043,Colombia,CO-CUN,Cundinamarca,,"Colombia, Cundinamarca, La Calera, PNN Chingaza, camino Piedras Gordas (4,7231,-73,8958)",4.723143,-73.8958,3265,Unknown – 1,Song,Unspecified,,,,,Tascam DR-100MKII,Sennheiser ME67 - K6P,"Rycote Standard Hole Softie with Lyre Mount, Pistol Grip",,S61340651,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,4.5,2,,,
166683321,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Ana Maria Ospina Larrea,7/2/2019,2019,7,2,1550,Colombia,CO-BOY,Boyacá,,"Claustro San Agustín, Villa de Leyva, Boyacá, CO (5.634, -73.52)",5.6343785,-73.5200884,2149,Adult,Call; Song,Used,,,,,Sound Devices MixPre3,Sennheiser ME62,"Telinga 22"" Parabola",,S57873364,,,,,Individuo grabado en el Claustro de San Agustín,Zonotrichia capensis,rucspa1,Species,32629,,5,1,,,
395302651,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Peter Boesman,11/14/2021,2021,11,14,1603,Colombia,CO-HUI,Huila,,"Reserva Ecoturística El Encanto, Huila, CO (1,72, -76,119)",1.7204801,-76.119056,1495,,Song,Unspecified,,,,,Olympus LS-05,Telinga Pro5W,,,S97756704,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,4,1,,,
257489971,Audio,Rufous-collared Sparrow,Zonotrichia capensis,Vanellus chilensis -- Southern Lapwing,Juan Sebastian Ulloa,8/23/2020,2020,8,23,730,Colombia,CO-VAC,Valle del Cauca,,Finca Manzanares,3.454752,-76.664404,1951,,"Courtship, Display, or Copulation; Song",Not Used,,,,,Marantz PMD661,Sennheiser ME64,Windshield,,S72751571,,,,Observado vocalizando en una rama de pino a unos 4 metros de distancia,,Zonotrichia capensis,rucspa1,Species,32629,,4,1,,,
254579351,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Sebastián Pérez-Peña,8/9/2020,2020,8,9,1054,Colombia,CO-CUN,Cundinamarca,,"Camino a San Rafael, La Aguadita, Fusagasugá, Cundinamarca, CO (4,394, -74,312)",4.3938838,-74.3117337,2148,,Song,Unspecified,,,,,,,,,S72263944,,,,Grabación con RecForgeII,,Zonotrichia capensis,rucspa1,Species,32629,,4,1,,,
253024901,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Mauricio  Alvarez,8/1/2020,2020,8,1,931,Colombia,CO-CUN,Cundinamarca,,"Cundinamarca, municipio de Chocontá, Vereda Arizona Km 5.",5.067167,-73.7086166,2687,Juvenile – 1,Song,Unspecified,,,,,Sound Devices 702,Sennheiser MKH 70 P48,,,S72011083,,,,,"Vocalización natural, en la copa de un arbusto de 5 metros de altura",Zonotrichia capensis,rucspa1,Species,32629,,4,1,,,
395654061,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Peter Boesman,11/17/2021,2021,11,17,515,Colombia,CO-HUI,Huila,,El Encanto Nature Reserve,1.7201319,-76.1193323,1506,,Song,Unspecified,,,,,Olympus LS-05,Telinga Pro5W,,,S98837558,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,4,1,,,
528323091,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Pablo Alejandro Pla,1/25/2023,2023,1,25,1754,Argentina,AR-B-TA,Buenos Aires,Tres Arroyos,Sitio Arqueológico Arroyo Seco,-38.3603938,-60.2456149,108,,Song,Unspecified,,,,,,,,,S126927639,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,3,1,,,
523043051,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Gonzalo Diaz,12/4/2021,2021,12,4,800,Argentina,AR-C,Ciudad Autónoma de Buenos Aires,,Reserva Ecológica Costanera Sur,-34.6082039,-58.3539677,6,,,Unspecified,,,,,,,,,S98528482,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,1,1,,,
509549871,Audio,Rufous-collared Sparrow,Zonotrichia capensis,Pitangus sulphuratus -- Great Kiskadee,Daniel Lescano,12/1/2022,2022,12,1,1645,Argentina,AR-G-RO,Santiago del Estero,Robles,Maco-Ribera del rio Dulce,-27.8383337,-64.1926364,179,,,Unspecified,,,,,,,,,S123315341,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,0,0,,,
501361691,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Pablo Hernan Capovilla,11/5/2022,2022,11,5,859,Argentina,AR-S-GO,Santa Fe,General Obligado,Reserva Natural Municipal El Pindó,-28.5004509,-59.2502159,44,,,Unspecified,,,,,,,,,S121886267,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,2,1,,,
388151221,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Jose Navarro,11/14/2021,2021,11,14,1248,Argentina,AR-G-BA,Santiago del Estero,Banda,El Rincón,-27.7043274,-64.2593523,191,,,Unspecified,,,,,,,,,S97592960,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,0,0,,,
500851811,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Daniel Lescano,11/5/2022,2022,11,5,800,Argentina,AR-G-RO,Santiago del Estero,Robles,"Costa del Río, San Pedro, Dpto Cap. Sgo. AR",-27.9376815,-64.1411901,162,,,Unspecified,,,,,,,,,S121881360,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,0,0,,,
499277271,Audio,Rufous-collared Sparrow,Zonotrichia capensis,Troglodytes aedon -- House Wren; Passer domesticus -- House Sparrow,Maria Lujan Solis,10/27/2022,2022,10,27,1213,Argentina,AR-C,Ciudad Autónoma de Buenos Aires,,Reserva Ecológica Costanera Sur,-34.6082039,-58.3539677,4,,,Unspecified,,,,,,,,,S121396497,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,0,0,,,
485852241,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Franco Vushurovich,9/19/2022,2022,9,19,640,Argentina,AR-S-RO,Santa Fe,Rosario,Barrio Belgrano,-32.9441975,-60.7116235,22,,Song,Not Used,,,,,,,,,S119079222,,,,"06:40am - ""vien ti to churrr""",,Zonotrichia capensis,rucspa1,Species,32629,,0,0,,,
482412851,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Sebastian Otero,9/3/2022,2022,9,3,1132,Argentina,AR-B-SF,Buenos Aires,San Fernando Partido,Camping El Cielo,-34.161021,-58.74567,3,,,Unspecified,,,,,,,,,S118042441,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,0,0,,,
381563471,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Franco Vushurovich,10/9/2021,2021,10,9,635,Argentina,AR-X-SA,Córdoba,San Alberto,Mina Clavero,-31.7167,-65,924,,Song,Unspecified,,,,,,,,,S96117830,,,,7.49am,,Zonotrichia capensis,rucspa1,Species,32629,,5,1,,,
418099511,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Ignacio Escobar Gutiérrez,2/5/2020,2020,2,5,1006,Bolivia,BO-C,Cochabamba,,Lago Larati,-17.3444403,-66.0232928,3558,,,Unspecified,,,,,,,,,S64376882,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,0,0,,,
286667,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Peter Boesman,12/28/1994,1994,12,28,800,Bolivia,BO-C,Cochabamba,,"Tablas Monte, Cochabamba",-17.15,-65.9,2683,,Song,Unspecified,,,,,MARANTZ PMD-222,Sennheiser ME 67,,,,,,,Recordist's Notes: Elevation: 2500 - 3000 m. ID certainty 100%.,,Zonotrichia capensis,rucspa1,Species,32629,,0,0,,,
182135711,Audio,Rufous-collared Sparrow,Zonotrichia capensis,,Joshua Covill,12/25/2018,2018,12,25,1003,Bolivia,BO-S,Santa Cruz,,Samaipata--Cerro De La Patria,-18.1832042,-63.8882842,1852,Adult Male – 2,Song,Unspecified,,,,,,,,,S50946064,,,,,,Zonotrichia capensis,rucspa1,Species,32629,,5,1,,,
